"ubigeo","ccdd","ccpp","ccdi","departamento","provincia","distrito","Número de hogares con déficit habitacional (en miles)","Número de hogares con déficit cuantitativo (en miles)","Número de hogares con viviendas inadecuadas (en miles)","Número de hogares secundarios (en miles)","Número de hogares con déficit cualitativo (en miles)","Número de hogares sin acceso al paquete de servicios básicos (en miles)","Número de hogares con viviendas irrecuperables (en miles)","Número de hogares con hacinamiento (en miles)","Porcentaje de hogares con déficit habitacional (%)","Porcentaje de hogares con déficit cuantitativo (%)","Porcentaje de hogares con viviendas inadecuadas (%)","Porcentaje de hogares secundarios (%)","Porcentaje de hogares con déficit cualitativo (%)","Porcentaje de hogares sin acceso al paquete de servicios básicos (%)","Porcentaje de hogares con viviendas irrecuperables (%)","Porcentaje de hogares con hacinamiento (%)"
"010101","01","01","01","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS",1.889,1.007,0.003,1.004,0.882,0.367,0.081,0.479,22.5983969374327,12.0468955616701,0.0358894604617777,12.0110061012083,10.5515013757627,4.39047732982414,0.969015432467999,5.73035052039718
"010102","01","01","02","AMAZONAS","CHACHAPOYAS","ASUNCION",0.007,0.004,0,0.004,0.003,0.001,0.001,0.001,6.73076923076923,3.84615384615385,0,3.84615384615385,2.88461538461538,0.961538461538462,0.961538461538462,0.961538461538462
"010103","01","01","03","AMAZONAS","CHACHAPOYAS","BALSAS",0.078,0.022,0,0.022,0.056,0.042,0.005,0.011,21.9718309859155,6.19718309859155,0,6.19718309859155,15.7746478873239,11.830985915493,1.40845070422535,3.09859154929577
"010104","01","01","04","AMAZONAS","CHACHAPOYAS","CHETO",0.029,0.008,0,0.008,0.021,0.006,0.001,0.015,13.1818181818182,3.63636363636364,0,3.63636363636364,9.54545454545455,2.72727272727273,0.454545454545455,6.81818181818182
"010105","01","01","05","AMAZONAS","CHACHAPOYAS","CHILIQUIN",0.014,0.002,0,0.002,0.012,0.009,0,0.003,6.79611650485437,0.970873786407767,0,0.970873786407767,5.8252427184466,4.36893203883495,0,1.45631067961165
"010106","01","01","06","AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA",0.154,0.015,0,0.015,0.139,0.115,0,0.029,28.3088235294118,2.75735294117647,0,2.75735294117647,25.5514705882353,21.1397058823529,0,5.33088235294118
"010107","01","01","07","AMAZONAS","CHACHAPOYAS","GRANADA",0.011,0.003,0,0.003,0.008,0.002,0,0.006,7.05128205128205,1.92307692307692,0,1.92307692307692,5.12820512820513,1.28205128205128,0,3.84615384615385
"010108","01","01","08","AMAZONAS","CHACHAPOYAS","HUANCAS",0.016,0.013,0,0.013,0.003,0.001,0,0.002,13.0081300813008,10.5691056910569,0,10.5691056910569,2.4390243902439,0.813008130081301,0,1.6260162601626
"010109","01","01","09","AMAZONAS","CHACHAPOYAS","LA JALCA",0.118,0.042,0.001,0.041,0.076,0.021,0.034,0.025,10.6884057971014,3.80434782608696,0.0905797101449275,3.71376811594203,6.88405797101449,1.90217391304348,3.07971014492754,2.26449275362319
"010110","01","01","10","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA",0.233,0.11,0,0.11,0.123,0.054,0.009,0.062,21.1625794732062,9.99091734786558,0,9.99091734786558,11.1716621253406,4.90463215258856,0.817438692098093,5.63124432334242
