"ccdd","ccpp","ccdi","ubigeo","Total","Número de hogares con déficit habitacional (en miles)","Número de hogares con déficit cualitativo de vivienda (en miles)","Número de hogares cuyas viviendas requieren de mejoras en sus paredes, techos o piso (en miles)","Número de hogares cuyas viviendas cuentan con servicios básicos deficitarios (en miles)","Número de hogares cuyas viviendas requieren ampliarse (en miles)","Número de hogares con déficit cuantitativo de vivienda (en miles)","Número de hogares cuyas viviendas son irrecuperables (en miles)","Número de hogares secundarios con hacinamiento (en miles)","Número de hogares que cuentan con hacinamiento no ampliable (en miles)","Porcentaje de hogares con déficit habitacional (%)","Porcentaje de hogares con déficit cualitativo de vivienda (%)","Porcentaje de hogares cuyas viviendas requieren de mejoras en sus paredes, techos o piso (%)","Porcentaje de hogares cuyas viviendas cuentan con servicios básicos deficitarios (%)","Porcentaje de hogares cuyas viviendas requieren ampliarse (%)","Porcentaje de hogares con déficit cuantitativo de vivienda (%)","Porcentaje de hogares cuyas viviendas son irrecuperables (%)","Porcentaje de hogares secundarios con hacinamiento (%)","Porcentaje de hogares que cuentan con hacinamiento no ampliable (%)"
"01","01","01","010101",8.359,6.528,5.855,5.405,1.621,0.635,0.673,0.094,0.376,0.206,78.0954659648283,70.0442636679029,64.6608445986362,19.3922718028472,7.59660246440962,8.05120229692547,1.12453642780237,4.49814571120947,2.4644096183754
"01","01","02","010102",0.104,0.102,0.088,0.088,0.021,0.005,0.014,0.012,0,0.002,98.0769230769231,84.6153846153846,84.6153846153846,20.1923076923077,4.80769230769231,13.4615384615385,11.5384615384615,0,1.92307692307692
"01","01","03","010103",0.355,0.335,0.318,0.312,0.156,0.017,0.017,0.007,0.004,0.006,94.3661971830986,89.5774647887324,87.887323943662,43.943661971831,4.7887323943662,4.7887323943662,1.97183098591549,1.12676056338028,1.69014084507042
"01","01","04","010104",0.22,0.184,0.175,0.173,0.031,0.022,0.009,0.002,0.003,0.004,83.6363636363636,79.5454545454545,78.6363636363636,14.0909090909091,10,4.09090909090909,0.909090909090909,1.36363636363636,1.81818181818182
"01","01","05","010105",0.206,0.204,0.2,0.2,0.098,0.005,0.004,0.001,0.001,0.002,99.0291262135922,97.0873786407767,97.0873786407767,47.5728155339806,2.42718446601942,1.94174757281553,0.485436893203884,0.485436893203884,0.970873786407767
"01","01","06","010106",0.544,0.544,0.526,0.522,0.349,0.037,0.018,0.005,0.002,0.011,100,96.6911764705882,95.9558823529412,64.1544117647059,6.80147058823529,3.30882352941176,0.919117647058824,0.367647058823529,2.02205882352941
"01","01","07","010107",0.156,0.15,0.147,0.147,0.059,0.01,0.003,0.003,0,0,96.1538461538461,94.2307692307692,94.2307692307692,37.8205128205128,6.41025641025641,1.92307692307692,1.92307692307692,0,0
"01","01","08","010108",0.123,0.121,0.115,0.115,0.023,0.004,0.006,0.003,0.002,0.001,98.3739837398374,93.4959349593496,93.4959349593496,18.6991869918699,3.2520325203252,4.8780487804878,2.4390243902439,1.6260162601626,0.813008130081301
"01","01","09","010109",1.104,1.077,1.043,1.008,0.647,0.042,0.034,0.017,0.008,0.009,97.5543478260869,94.4746376811594,91.304347826087,58.6050724637681,3.80434782608696,3.07971014492754,1.53985507246377,0.72463768115942,0.815217391304348
"01","01","10","010110",1.101,1.028,0.944,0.913,0.265,0.087,0.084,0.016,0.044,0.024,93.369663941871,85.7402361489555,82.9246139872843,24.0690281562216,7.90190735694823,7.62942779291553,1.45322434150772,3.99636693914623,2.17983651226158
"01","01","11","010111",0.252,0.236,0.232,0.23,0.043,0.007,0.004,0.001,0.003,0,93.6507936507936,92.0634920634921,91.2698412698413,17.0634920634921,2.77777777777778,1.58730158730159,0.396825396825397,1.19047619047619,0
"01","01","12","010112",0.317,0.285,0.272,0.27,0.052,0.021,0.013,0.007,0.004,0.002,89.9053627760252,85.8044164037855,85.1735015772871,16.403785488959,6.62460567823344,4.10094637223975,2.20820189274448,1.26182965299685,0.630914826498423
"01","01","13","010113",0.406,0.388,0.381,0.372,0.079,0.034,0.007,0.001,0.002,0.004,95.5665024630542,93.8423645320197,91.6256157635468,19.4581280788177,8.3743842364532,1.72413793103448,0.246305418719212,0.492610837438424,0.985221674876847
"01","01","14","010114",0.701,0.584,0.573,0.5,0.259,0.088,0.011,0.001,0.006,0.004,83.3095577746077,81.7403708987161,71.3266761768902,36.9472182596291,12.5534950071327,1.56918687589158,0.14265335235378,0.855920114122682,0.570613409415121
"01","01","15","010115",0.164,0.162,0.157,0.157,0.021,0.011,0.005,0.001,0.001,0.003,98.780487804878,95.7317073170732,95.7317073170732,12.8048780487805,6.70731707317073,3.04878048780488,0.609756097560976,0.609756097560976,1.82926829268293
"01","01","16","010116",0.148,0.142,0.131,0.128,0.052,0.02,0.011,0.006,0.003,0.002,95.945945945946,88.5135135135135,86.4864864864865,35.1351351351351,13.5135135135135,7.43243243243243,4.05405405405405,2.02702702702703,1.35135135135135
"01","01","17","010117",0.295,0.295,0.243,0.24,0.222,0.003,0.052,0.052,0,0,100,82.3728813559322,81.3559322033898,75.2542372881356,1.01694915254237,17.6271186440678,17.6271186440678,0,0
"01","01","18","010118",0.102,0.094,0.089,0.082,0.032,0.011,0.005,0.001,0,0.004,92.156862745098,87.2549019607843,80.3921568627451,31.3725490196078,10.7843137254902,4.90196078431373,0.980392156862745,0,3.92156862745098
"01","01","19","010119",0.187,0.183,0.179,0.179,0.049,0.008,0.004,0,0.003,0.001,97.8609625668449,95.7219251336898,95.7219251336898,26.2032085561497,4.27807486631016,2.13903743315508,0,1.60427807486631,0.53475935828877
"01","01","20","010120",0.407,0.373,0.363,0.357,0.124,0.037,0.01,0.001,0.002,0.007,91.6461916461917,89.1891891891892,87.7149877149877,30.4668304668305,9.09090909090909,2.45700245700246,0.245700245700246,0.491400491400491,1.71990171990172
"01","01","21","010121",0.086,0.084,0.081,0.081,0.031,0.001,0.003,0.002,0,0.001,97.6744186046512,94.1860465116279,94.1860465116279,36.046511627907,1.16279069767442,3.48837209302326,2.32558139534884,0,1.16279069767442
"01","01","00","010100",15.337,13.099,12.112,11.479,4.234,1.105,0.987,0.233,0.464,0.293,85.4078372563083,78.972419638782,74.845145726022,27.6064419377975,7.20479885244833,6.43541761752624,1.51920192997327,3.0253635000326,1.91041272739128
"01","02","01","010201",7.489,5.936,5.598,5.19,2.475,0.253,0.338,0.064,0.17,0.105,79.2629189477901,74.7496327947657,69.3016424088663,33.0484710909334,3.37828815596208,4.51328615302444,0.854586727199893,2.26999599412472,1.40205634931232
"01","02","02","010202",2.878,2.735,2.367,2.295,1.452,0.048,0.368,0.355,0.001,0.012,95.0312717164698,82.2446143154969,79.7428769979152,50.45170257123,1.66782487838777,12.7866574009729,12.3349548297429,0.0347463516330785,0.416956219596942
"01","02","03","010203",1.47,1.403,1.383,1.32,1.025,0.022,0.02,0.006,0.008,0.006,95.4421768707483,94.0816326530612,89.795918367347,69.7278911564626,1.49659863945578,1.36054421768708,0.408163265306122,0.54421768707483,0.408163265306122
"01","02","04","010204",0.388,0.364,0.361,0.36,0.161,0.001,0.003,0.002,0,0.001,93.8144329896907,93.041237113402,92.7835051546392,41.4948453608247,0.257731958762887,0.77319587628866,0.515463917525773,0,0.257731958762887
"01","02","05","010205",6.284,6.111,2.67,2.381,2.215,0.054,3.441,3.355,0.071,0.02,97.2469764481222,42.488860598345,37.8898790579249,35.2482495225971,0.859325270528326,54.7581158497772,53.3895607893062,1.12985359643539,0.318268618714195
"01","02","06","010206",1.965,1.933,1.909,1.865,1.36,0.038,0.024,0.006,0.011,0.007,98.3715012722646,97.1501272264631,94.910941475827,69.2111959287532,1.93384223918575,1.22137404580153,0.305343511450382,0.559796437659033,0.356234096692112
"01","02","00","010200",20.474,18.482,14.288,13.411,8.688,0.416,4.194,3.788,0.261,0.151,90.2705870860604,69.7860701377357,65.5025886490183,42.4343069258572,2.03184526716812,20.4845169483247,18.5015141154635,1.27478753541076,0.73752075803458
"01","03","01","010301",0.442,0.416,0.385,0.375,0.069,0.063,0.031,0.001,0.016,0.014,94.1176470588235,87.10407239819,84.841628959276,15.6108597285068,14.2533936651584,7.01357466063348,0.226244343891403,3.61990950226244,3.16742081447964
"01","03","02","010302",0.115,0.109,0.1,0.096,0.021,0.005,0.009,0.001,0.003,0.005,94.7826086956522,86.9565217391304,83.4782608695652,18.2608695652174,4.34782608695652,7.82608695652174,0.869565217391304,2.60869565217391,4.34782608695652
"01","03","03","010303",0.089,0.071,0.07,0.064,0.022,0.011,0.001,0.001,0,0,79.7752808988764,78.6516853932584,71.9101123595506,24.7191011235955,12.3595505617978,1.12359550561798,1.12359550561798,0,0
"01","03","04","010304",0.233,0.212,0.212,0.204,0.108,0.006,0,0,0,0,90.9871244635193,90.9871244635193,87.5536480686695,46.3519313304721,2.57510729613734,0,0,0,0
"01","03","05","010305",0.225,0.213,0.205,0.205,0.064,0.012,0.008,0.006,0,0.002,94.6666666666667,91.1111111111111,91.1111111111111,28.4444444444444,5.33333333333333,3.55555555555556,2.66666666666667,0,0.888888888888889
"01","03","06","010306",1.67,1.438,1.393,1.294,0.686,0.08,0.045,0.019,0.017,0.009,86.1077844311377,83.4131736526946,77.4850299401198,41.0778443113772,4.79041916167665,2.69461077844311,1.1377245508982,1.01796407185629,0.538922155688623
"01","03","07","010307",2.365,2.115,1.944,1.823,0.832,0.169,0.171,0.014,0.111,0.047,89.4291754756871,82.1987315010571,77.0824524312896,35.1797040169133,7.14587737843552,7.23044397463002,0.591966173361522,4.69344608879492,1.98731501057082
"01","03","08","010308",0.079,0.078,0.076,0.075,0.045,0.003,0.002,0.002,0,0,98.7341772151899,96.2025316455696,94.9367088607595,56.9620253164557,3.79746835443038,2.53164556962025,2.53164556962025,0,0
"01","03","09","010309",0.183,0.18,0.17,0.17,0.051,0.013,0.01,0.009,0,0.001,98.3606557377049,92.896174863388,92.896174863388,27.8688524590164,7.10382513661202,5.46448087431694,4.91803278688525,0,0.546448087431694
"01","03","10","010310",0.452,0.421,0.412,0.394,0.192,0.023,0.009,0.002,0.005,0.002,93.141592920354,91.1504424778761,87.1681415929203,42.4778761061947,5.08849557522124,1.99115044247788,0.442477876106195,1.10619469026549,0.442477876106195
"01","03","11","010311",0.3,0.265,0.261,0.254,0.097,0.015,0.004,0.001,0.001,0.002,88.3333333333333,87,84.6666666666667,32.3333333333333,5,1.33333333333333,0.333333333333333,0.333333333333333,0.666666666666667
"01","03","12","010312",1.66,1.564,1.534,1.354,1.155,0.04,0.03,0.011,0.011,0.008,94.2168674698795,92.4096385542169,81.566265060241,69.5783132530121,2.40963855421687,1.80722891566265,0.662650602409639,0.662650602409639,0.481927710843374
